Plant_ID,2022_red,2022_yellow,2022_venation,2022_colour,2021_red,2021_yellow,2021_venation,2021_colour,2020_red,2020_yellow,2020_venation,2020_colour,2019_red,2019_yellow,2019_venation,2019_colour,2018_red,2018_yellow,2018_venation,2018_colour,2017_red,2017_yellow,2017_venation,2017_colour,2016_red,2016_yellow,2016_venation,2016_colour,2015_red,2015_yellow,2015_venation,2015_colour
pa0212,,,,,0.5,2.5,2.5,Ye,0.5,2.5,3.5,Ye,,,,,,,,,,,,,,,,,,,,
pa0212,,,,,0.5,2.5,2.5,Ye,0.5,2.5,3.5,Ye,,,,,,,,,,,,,,,,,,,,
pa0283,,,,,,,,,3.5,2,1,FO,,,,,,,,,,,,,,,,,,,,
pa0291,,,,,3,2.5,3,FO,3,1.5,3,FR,,,,,,,,,,,,,,,,,,,,
pa0299,,,,,4,1,3,FR,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,
pa0323,,,,,4,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pa0330,,,,,1.5,2,2.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pa0333,,,,,0.5,2,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pa0341,0.5,2.5,1,Ye,,,,,0.5,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,
pa0343,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pa0344,,,,,2,2.5,3,WO,2.5,2.5,2,WO,,,,,,,,,,,,,,,,,,,,
pa0349,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pa0350,,,,,0.5,1,3,Wh,0.5,1,1.5,Wh,,,,,,,,,,,,,,,,,,,,
pa0356,,,,,1.5,1,1.5,WR,1.5,1,1,WR,,,,,,,,,,,,,,,,,,,,
pa0447,,,,,1.5,1,2,WR,2.5,1,2,WR,,,,,,,,,,,,,,,,,,,,
pa0448,,,,,0.5,2.5,1,Ye,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,
pa0460,,,,,2.5,2.5,2,WO,2,2,2,WO,,,,,,,,,,,,,,,,,,,,
pa0666,,,,,0.5,3,1.5,Ye,1.5,3,1.5,WO,,,,,,,,,,,,,,,,,,,,
pa0760,,,,,4,2.5,3.5,FO,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,
pa0981,,,,,0.5,1,1.5,Wh,1.5,1.5,2.5,WR,,,,,,,,,,,,,,,,,,,,
pa0986,,,,,3.5,1,3.5,FR,3.5,1.5,3,FR,,,,,,,,,,,,,,,,,,,,
pa0994,,,,,2,1,2.5,WR,2.5,1.5,2,WR,,,,,,,,,,,,,,,,,,,,
pa0998,,,,,2,1,2,WR,2.5,1.5,2,WR,,,,,,,,,,,,,,,,,,,,
pa0999,,,,,1,0.5,1.5,Wh,1.5,1.5,1.5,WR,,,,,,,,,,,,,,,,,,,,
pa1148,,,,,,,,,2.5,1,2,WR,,,,,,,,,,,,,,,,,,,,
pa1168,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pa1179,,,,,0.5,0.5,,Wh,1.5,1.5,1,WR,,,,,,,,,,,,,,,,,,,,
pa1282,,,,,3.5,0.5,3,FR,3,1,3,FR,,,,,,,,,,,,,,,,,,,,
pa1291,,,,,4,1,4,FR,3.5,1,4,FR,,,,,,,,,,,,,,,,,,,,
pa1308,,,,,3,0.5,3.5,FR,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,
pa1321,,,,,0.5,2,3,Ye,0.5,1.5,2.5,Wh,,,,,,,,,,,,,,,,,,,,
pa1499,,,,,,,,,0.5,3,2.5,Ye,,,,,,,,,,,,,,,,,,,,
pa1799,,,,,0.5,2.5,1.5,Ye,1.5,2.5,1.5,WO,,,,,,,,,,,,,,,,,,,,
pa1849,,,,,,,,,3,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,
pa1851,,,,,1.5,2,2.5,WO,1.5,2,2.5,WO,,,,,,,,,,,,,,,,,,,,
pa1852,,,,,3.5,1.5,3,FR,1.5,1.5,1,WR,,,,,,,,,,,,,,,,,,,,
pa1854,,,,,4,0.5,3,FR,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,
pa1858,,,,,4,1,3,FR,3.5,1,1,FR,,,,,,,,,,,,,,,,,,,,
pa1896,,,,,3,1.5,3.5,FR,3.5,2,3.5,FO,,,,,,,,,,,,,,,,,,,,
pa1904,,,,,4,0.5,3.5,FR,4,1,3,FR,,,,,,,,,,,,,,,,,,,,
pa1912,,,,,4,0.5,3.5,FR,3,1,1,FR,,,,,,,,,,,,,,,,,,,,
pa1943,,,,,4,1,3.5,FR,3,1,3,FR,,,,,,,,,,,,,,,,,,,,
pa1945,,,,,4,1,3.5,FR,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,
pa2382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pa2386,,,,,,,,,4.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,
pa2389,,,,,1.5,0.5,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pa2393,,,,,,,,,1.5,1,1,WR,,,,,,,,,,,,,,,,,,,,
pa2395,,,,,3.5,0.5,3.5,FR,4,1,3,FR,,,,,,,,,,,,,,,,,,,,
pa2399,,,,,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,
pa2400,,,,,3.5,2,3.5,FO,3.5,2,4,FO,,,,,,,,,,,,,,,,,,,,
pa2417,,,,,4,1,3.5,FR,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,
pa2468,,,,,0.5,0.5,2.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pa2472,,,,,0.5,2.5,2,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pa2472,,,,,1.5,2.5,2,WO,,,,,,,,,,,,,,,,,,,,,,,,
pa2477,,,,,1.5,2.5,2.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pa2478,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pa2483,,,,,0.5,1.5,3,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pa2484,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pa2485,,,,,2,2,0.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pa2486,,,,,2,1.5,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pa2495,,,,,1.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pa2499,,,,,2.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pa2514,,,,,0.5,1,1,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pa2520,,,,,0.5,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pa2530,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0001,,,,,2.5,0.5,4,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0002,,,,,0.5,1,1,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0003,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0005,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0006,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0009,,,,,1.5,2,2,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0010,,,,,2,1.5,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0011,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0012,,,,,2,2,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0013,,,,,4,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0014,,,,,3,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0015,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0016,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0017,,,,,2,1.5,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0019,,,,,0.5,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0020,,,,,2.5,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0021,,,,,2,0.5,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0022,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0024,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0026,,,,,3,1,1.6,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0027,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0028,,,,,1.5,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0029,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0030,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0031,,,,,0.5,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0032,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0033,,,,,3.5,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0034,,,,,2.5,2.5,1.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0035,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0036,,,,,2,1,4,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0037,,,,,2.5,0.5,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0039,,,,,4,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0040,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0041,,,,,3.5,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0042,,,,,2,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0043,2,1,0.5,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0044,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0045,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0046,,,,,3.5,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0051,,,,,3,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0052,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0053,,,,,0.5,1,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0054,,,,,3.5,2,4,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0056,,,,,1,2,2,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0057,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0058,,,,,4.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0059,,,,,2.5,2.5,1,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0060,,,,,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0062,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0062,,,,,4.5,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0063,,,,,0.5,1.5,2,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0064,,,,,1.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0065,,,,,4,0.5,4,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0066,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0067,,,,,0.5,1,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0068,,,,,2,0.5,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0069,,,,,4,2,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0070,0.5,2.5,2,Ye,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0071,,,,,2,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0072,,,,,2,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0073,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0074,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0075,,,,,3,0.5,2.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0076,,,,,1.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0078,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0079,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0079,,,,,3,2.5,1,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0080,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0081,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0082,,,,,2.5,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0083,,,,,3,1,4,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0084,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0085,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0086,,,,,0.5,1,1,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0087,,,,,1.5,2.5,4,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0088,,,,,1.5,2,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0089,,,,,2,2.5,1,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0092,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0093,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0094,,,,,1,2,3.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0095,,,,,3,1,2.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0096,,,,,4,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0097,,,,,1,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0099,,,,,0.5,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0100,,,,,2,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0103,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0104,,,,,3.5,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0105,,,,,4,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0107,,,,,1,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0108,,,,,2,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0109,,,,,3,1,2.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0109,,,,,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0110,,,,,2,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0112,,,,,2.5,2,4,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0113,,,,,2.5,1,4,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0114,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0116,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0118,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0121,,,,,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0122,,,,,0.5,0.5,2,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0124,,,,,4,1.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0125,,,,,1.5,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0126,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0127,,,,,0.5,2,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0128,,,,,2,1,4,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0129,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0130,,,,,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0131,,,,,2.5,1.5,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0132,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0133,,,,,1.5,2.5,1.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0135,,,,,3.5,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0136,,,,,1,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0137,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0138,,,,,1,2,3.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0139,,,,,0.5,3,4,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0140,,,,,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0141,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0143,,,,,4,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0144,,,,,2,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0145,,,,,1.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0146,,,,,2,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0147,,,,,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0148,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0149,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0149,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0150,,,,,1.5,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0151,,,,,2,2,2,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0152,,,,,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0153,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0154,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0155,,,,,0.5,1,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0156,,,,,3.5,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0157,,,,,2,2.5,2.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0158,,,,,0.5,1,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0159,,,,,3,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0160,,,,,3.5,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0161,,,,,2.5,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0162,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0163,,,,,1,1,3.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0164,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0165,3,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0166,,,,,2,0.5,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0168,,,,,2,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0169,,,,,2,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0170,,,,,4,2,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0171,,,,,1,2.5,3.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0172,,,,,2,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0174,,,,,1,1,2,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0175,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0176,,,,,2.5,1,4,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0177,,,,,0.5,2,2,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0178,,,,,0.5,1.5,2,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0179,,,,,2,0.5,1,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0180,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0181,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0182,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0183,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0184,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0185,,,,,1.5,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0186,,,,,1.5,1.5,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0188,,,,,1.5,1.5,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0189,,,,,0.5,1.5,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0190,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0191,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0192,,,,,1,0.5,3,Wh,,,,,,,,,,,,,,,,,,,,,,,,
