Plant_ID,2022_red,2022_yellow,2022_venation,2022_colour,2021_red,2021_yellow,2021_venation,2021_colour,2020_red,2020_yellow,2020_venation,2020_colour,2019_red,2019_yellow,2019_venation,2019_colour,2018_red,2018_yellow,2018_venation,2018_colour,2017_red,2017_yellow,2017_venation,2017_colour,2016_red,2016_yellow,2016_venation,2016_colour,2015_red,2015_yellow,2015_venation,2015_colour
pb0193,,,,,2.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0194,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0195,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0196,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0197,,,,,0.5,1,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0198,,,,,2.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0199,,,,,0.5,2,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0200,,,,,1.5,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0201,,,,,0.5,1,1,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0202,,,,,3,2,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0204,,,,,0.5,1.5,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0205,,,,,3,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0207,,,,,1,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0209,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0210,,,,,4,2.5,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0211,,,,,2.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0213,,,,,1.5,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0215,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0216,,,,,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0217,,,,,0.5,3,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0219,,,,,0.5,2,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0220,,,,,1,2.5,3.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0221,,,,,4,2,4,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0222,,,,,0.5,2,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0223,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0224,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0225,,,,,2.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0227,,,,,0.5,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0228,,,,,1,1,2.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0229,,,,,0.5,2,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0230,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0231,,,,,2,2,2,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0232,,,,,3.5,2,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0233,,,,,2,0.5,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0235,,,,,1.5,2.5,2,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0236,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0237,,,,,0.5,1.5,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0238,,,,,0.5,3,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0240,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0241,1.5,1.5,2,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0242,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0243,,,,,3,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0244,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0245,,,,,3,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0246,,,,,0.5,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0247,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0248,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0250,,,,,3.5,2,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0251,,,,,4,1,,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0252,,,,,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0253,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0254,,,,,4,1,4,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0256,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0258,,,,,3,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0259,,,,,3,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0260,,,,,3,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0261,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0263,,,,,4,2,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0264,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0265,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0266,,,,,1.5,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0267,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0268,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0269,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0270,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0271,,,,,1,2.5,2,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0273,,,,,4,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0274,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0276,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0277,,,,,4,2,3,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0278,,,,,3.5,0.5,,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0279,,,,,1.5,2.5,1.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0280,,,,,3,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0281,,,,,3,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0282,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0283,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0284,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0285,,,,,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0286,,,,,4,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0287,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0288,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0289,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0289,,,,,3,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0290,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0291,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0292a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0292b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0293,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0294,,,,,2,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0296a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0296b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0297,,,,,0.5,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0298,,,,,2,0.5,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0300,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0301,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0302,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0303,,,,,3,1,1,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0306,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0307,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0309,,,,,2,3,1,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0310,,,,,3.5,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0311,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0312,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0313,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0314,,,,,4.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0315,,,,,1.5,2,2.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0316,3.5,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0318,,,,,1,1.5,2.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0319,,,,,1.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0320,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0321,,,,,1.5,1,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0323,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0324,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0326,,,,,4,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0327,,,,,3.5,2,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0330,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0331,,,,,4.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0333,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0334,,,,,1.5,0.5,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0335,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0336,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0337,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0338,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0339,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0343,,,,,3,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0344,,,,,2.5,0.5,2,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0345,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0346,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0347,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0349,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0350,,,,,3,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0351,3.5,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0352,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0353,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0354,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0355,,,,,3,1.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0356,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0357,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0358,,,,,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0358,,,,,2,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0359,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0360,,,,,4.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0361,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0362,,,,,1.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0363,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0364,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0366,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0368,,,,,3.5,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0370,,,,,3.5,1,1,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0372,,,,,3.5,1.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0374,,,,,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0375,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0376,,,,,4,1,4,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0377,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0378,,,,,1,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0380,,,,,1.5,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0381,,,,,3,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0382,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0384,,,,,3.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0385,,,,,4,1,4,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0387,,,,,3.5,1,1,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0389,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0390,1.5,1,0.5,WR,1.5,1,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0391,3,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0392,1,1.5,2.5,Wh,0.5,1.5,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0393,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0393,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0394,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0395,,,,,3.5,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0396,,,,,3,1,2,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0397,,,,,4,0.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0398,,,,,4,1,1,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0399,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0400,,,,,3,1,2.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0401,,,,,3,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0402,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0403,,,,,3.5,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0405,,,,,0.5,2.5,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0407,,,,,2,0.5,,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0408,,,,,0.5,1.5,1.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0409,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0410,,,,,1,2.5,3.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0412,,,,,4,1.5,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0413,0.5,3,1,Ye,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0414,,,,,3.5,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0415,,,,,2,1,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0416,2,1.5,1.5,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0418,,,,,2,2.5,2.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0422,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0424,0.5,3,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0425,,,,,2,1,4,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0427,,,,,0.5,2,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0429,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0432,,,,,0.5,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0435,,,,,2.5,1.5,1,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0436,,,,,0.5,1.5,2.5,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0437,,,,,0.5,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0440,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0441,,,,,2,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0442,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0443,,,,,3.5,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0445,0.5,3,1,Ye,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0448,,,,,1.5,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0450,,,,,0.5,2,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0451,,,,,4,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0453,1.5,1,3.5,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0454,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0455,,,,,3,1,4,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0456,,,,,0.5,3,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0458,,,,,2,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0459,3.5,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0460,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0461,,,,,0.5,2,2.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0463,,,,,4,1,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0464,,,,,3.5,2.5,3.5,FO,,,,,,,,,,,,,,,,,,,,,,,,
pb0465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0468,,,,,2,2.5,3.5,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0469,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0472,,,,,3,1,1,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0474,,,,,1.5,1.5,2.5,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0476,,,,,4.5,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0480,,,,,0.5,2.5,3,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0482,,,,,2,2.5,3,WO,,,,,,,,,,,,,,,,,,,,,,,,
pb0484,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0484,,,,,0.5,3,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0485,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pb0487,,,,,2,1,1,WR,,,,,,,,,,,,,,,,,,,,,,,,
pb0489,,,,,4,1,3.5,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0491,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0494,,,,,4.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0495,,,,,0.5,0.5,1,Wh,,,,,,,,,,,,,,,,,,,,,,,,
pb0498,,,,,3.5,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0500,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0526,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0539,,,,,0.5,2.5,1,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0547,,,,,0.5,2.5,1.5,Ye,,,,,,,,,,,,,,,,,,,,,,,,
pb0731,,,,,4,0.5,3,FR,,,,,,,,,,,,,,,,,,,,,,,,
pb0733,,,,,1.5,1,3,WR,,,,,,,,,,,,,,,,,,,,,,,,
